,P1,P2,P3,P4,P5,P6,P7,P8,P9,P10,P11,P12
P1,0.0,7.810249675906654,13.341664064126334,8.06225774829855,4.123105625617661,11.661903789690601,23.021728866442675,9.219544457292887,7.280109889280518,18.027756377319946,19.924858845171276,18.439088914585774
P2,7.810249675906654,0.0,7.280109889280518,2.8284271247461903,10.295630140987,4.123105625617661,15.264337522473747,1.4142135623730951,7.0710678118654755,13.416407864998739,13.038404810405298,15.0
P3,13.341664064126334,7.280109889280518,0.0,9.848857801796104,13.892443989449804,4.242640687119285,11.661903789690601,6.708203932499369,7.810249675906654,6.4031242374328485,6.708203932499369,8.602325267042627
P4,8.06225774829855,2.8284271247461903,9.848857801796104,0.0,11.40175425099138,6.082762530298219,16.15549442140351,3.1622776601683795,9.486832980505138,16.1245154965971,15.033296378372908,17.804493814764857
P5,4.123105625617661,10.295630140987,13.892443989449804,11.40175425099138,0.0,13.45362404707371,24.758836806279895,11.661903789690601,6.324555320336759,17.26267650163207,20.591260281974,17.0
P6,11.661903789690601,4.123105625617661,4.242640687119285,6.082762530298219,13.45362404707371,0.0,11.40175425099138,3.0,8.54400374531753,10.63014581273465,9.0,12.806248474865697
P7,23.021728866442675,15.264337522473747,11.661903789690601,16.15549442140351,24.758836806279895,11.40175425099138,0.0,13.892443989449804,19.209372712298546,14.035668847618199,7.0,17.029386365926403
P8,9.219544457292887,1.4142135623730951,6.708203932499369,3.1622776601683795,11.661903789690601,3.0,13.892443989449804,0.0,8.0,13.038404810405298,12.0,14.866068747318506
P9,7.280109889280518,7.0710678118654755,7.810249675906654,9.486832980505138,6.324555320336759,8.54400374531753,19.209372712298546,8.0,0.0,11.045361017187261,14.422205101855956,11.180339887498949
P10,18.027756377319946,13.416407864998739,6.4031242374328485,16.1245154965971,17.26267650163207,10.63014581273465,14.035668847618199,13.038404810405298,11.045361017187261,0.0,7.0710678118654755,3.0
P11,19.924858845171276,13.038404810405298,6.708203932499369,15.033296378372908,20.591260281974,9.0,7.0,12.0,14.422205101855956,7.0710678118654755,0.0,10.04987562112089
P12,18.439088914585774,15.0,8.602325267042627,17.804493814764857,17.0,12.806248474865697,17.029386365926403,14.866068747318506,11.180339887498949,3.0,10.04987562112089,0.0
