,Instance,Solution
0,"[16, 0, 0, 16, 0, 17, 0, 13, 0, 14, 20, 18, 9, 4, 0, 15, 0, 4, 0, 0]","[1, 6, 8, 10, 11, 12]"
1,"[5, 0, 0, 0, 0, 0, 5, 0, 13, 0, 3, 15, 8, 4, 0, 18, 6, 12, 2, 0]","[1, 11, 12, 14, 17, 19]"
2,"[5, 0, 0, 16, 0, 0, 5, 13, 0, 0, 9, 0, 0, 0, 0, 14, 0, 16, 7, 13]","[1, 8, 11, 16, 19]"
3,"[5, 20, 0, 0, 0, 17, 3, 13, 2, 14, 0, 15, 0, 0, 0, 0, 6, 0, 7, 13]","[1, 10, 12, 17, 19, 20]"
4,"[5, 19, 7, 16, 1, 0, 0, 13, 13, 14, 20, 0, 0, 4, 4, 0, 6, 12, 2, 11]","[5, 8, 10, 11, 17, 18, 19]"
5,"[0, 6, 7, 0, 0, 0, 3, 13, 20, 14, 20, 0, 0, 10, 12, 4, 6, 4, 2, 0]","[8, 11, 14, 15, 17, 19]"
6,"[16, 6, 11, 14, 7, 0, 5, 0, 0, 0, 9, 0, 8, 4, 16, 1, 0, 4, 0, 0]","[2, 3, 7, 13, 18]"
7,"[5, 19, 0, 16, 1, 0, 0, 13, 11, 14, 9, 0, 9, 10, 12, 0, 6, 4, 2, 11]","[5, 8, 11, 14, 15, 17, 19]"
8,"[16, 0, 0, 18, 0, 17, 5, 0, 0, 14, 9, 0, 2, 0, 0, 18, 6, 0, 0, 9]","[7, 16, 17, 20]"
9,"[16, 0, 0, 14, 1, 17, 0, 0, 20, 14, 20, 0, 0, 4, 4, 0, 6, 0, 7, 0]","[10, 11, 15, 17, 19]"
10,"[16, 0, 0, 15, 1, 17, 3, 0, 0, 14, 3, 18, 0, 0, 4, 18, 6, 16, 7, 2]","[5, 10, 11, 12, 15, 17, 20]"
11,"[0, 13, 11, 0, 7, 0, 0, 13, 0, 14, 3, 15, 0, 0, 4, 0, 6, 16, 0, 0]","[5, 8, 10, 11, 12, 17, 18]"
12,"[16, 0, 11, 18, 0, 0, 19, 13, 0, 14, 0, 18, 0, 0, 12, 0, 0, 0, 2, 13]","[1, 3, 8, 10, 12, 19]"
13,"[16, 9, 7, 0, 7, 17, 3, 13, 20, 0, 9, 0, 8, 10, 16, 0, 0, 16, 2, 2]","[5, 6, 8, 11, 18]"
14,"[0, 0, 7, 0, 7, 0, 0, 13, 0, 0, 9, 15, 0, 16, 12, 0, 6, 4, 7, 9]","[8, 11, 12, 17, 18, 19]"
15,"[0, 20, 7, 14, 7, 17, 0, 0, 20, 0, 0, 0, 2, 0, 0, 1, 0, 12, 0, 13]","[4, 5, 6, 18, 20]"
16,"[16, 20, 7, 0, 7, 0, 0, 13, 20, 0, 0, 15, 9, 0, 4, 0, 6, 12, 0, 0]","[1, 5, 12, 13, 17]"
17,"[5, 6, 7, 0, 0, 17, 3, 0, 11, 14, 0, 0, 2, 16, 4, 0, 6, 4, 2, 11]","[1, 3, 10, 13, 17, 18]"
18,"[5, 20, 7, 15, 0, 2, 3, 13, 0, 0, 0, 15, 8, 0, 0, 1, 0, 0, 7, 0]","[1, 3, 6, 8, 12]"
19,"[5, 9, 0, 14, 0, 0, 5, 0, 11, 14, 3, 0, 8, 0, 16, 0, 6, 0, 0, 0]","[7, 9, 10, 13, 15, 17]"
20,"[5, 0, 0, 0, 7, 17, 0, 0, 0, 14, 9, 0, 0, 4, 16, 0, 6, 0, 2, 0]","[10, 11, 15, 17, 19]"
21,"[5, 9, 0, 15, 0, 0, 5, 13, 0, 0, 3, 0, 0, 0, 0, 0, 6, 16, 2, 0]","[1, 4, 8, 11, 17, 19]"
22,"[0, 0, 11, 18, 7, 17, 3, 13, 20, 14, 20, 18, 0, 4, 0, 15, 6, 16, 0, 2]","[5, 8, 11, 12, 14, 17]"
23,"[16, 13, 7, 14, 0, 17, 19, 13, 20, 14, 20, 18, 20, 10, 16, 14, 6, 16, 2, 0]","[8, 10, 11, 12, 15, 17, 19]"
24,"[0, 0, 7, 14, 1, 2, 5, 13, 2, 0, 20, 18, 0, 0, 12, 15, 0, 0, 0, 0]","[4, 6, 7, 8, 11, 15]"
25,"[5, 0, 7, 16, 7, 17, 0, 0, 13, 14, 20, 18, 8, 10, 12, 14, 6, 0, 2, 9]","[1, 11, 15, 16, 17, 19]"
26,"[0, 13, 0, 16, 1, 17, 0, 0, 20, 0, 3, 0, 0, 16, 4, 14, 6, 12, 0, 2]","[11, 16, 17, 18, 20]"
27,"[0, 9, 7, 18, 7, 0, 5, 13, 13, 14, 0, 18, 0, 0, 0, 4, 6, 4, 2, 0]","[7, 8, 10, 17, 18, 19]"
28,"[0, 0, 7, 0, 0, 17, 19, 0, 2, 14, 3, 18, 0, 16, 16, 4, 6, 0, 2, 13]","[10, 11, 12, 15, 17, 20]"
29,"[0, 0, 0, 0, 7, 0, 0, 0, 11, 14, 3, 0, 0, 0, 0, 14, 0, 0, 2, 13]","[5, 11, 16, 20]"
30,"[5, 0, 0, 0, 1, 2, 3, 13, 2, 14, 20, 0, 0, 0, 12, 0, 0, 4, 2, 0]","[5, 8, 10, 11, 18, 19]"
31,"[0, 0, 11, 0, 0, 0, 5, 0, 2, 0, 9, 0, 2, 0, 16, 0, 0, 0, 2, 0]","[7, 11, 15, 19]"
32,"[0, 0, 7, 0, 1, 2, 5, 13, 2, 14, 3, 15, 0, 0, 16, 14, 6, 0, 2, 0]","[5, 8, 10, 11, 15, 17, 19]"
33,"[0, 20, 11, 0, 7, 0, 0, 0, 0, 14, 20, 0, 2, 0, 4, 15, 6, 0, 2, 0]","[10, 11, 15, 17, 19]"
34,"[0, 0, 0, 16, 7, 2, 0, 13, 11, 14, 20, 18, 9, 0, 12, 0, 6, 4, 7, 0]","[8, 10, 11, 17, 18, 19]"
35,"[16, 19, 7, 0, 0, 2, 0, 13, 11, 0, 0, 0, 8, 0, 0, 1, 6, 16, 2, 0]","[9, 13, 17, 18]"
36,"[16, 0, 0, 0, 0, 0, 5, 13, 11, 0, 20, 15, 0, 16, 4, 18, 6, 0, 0, 11]","[7, 8, 11, 12, 14, 17]"
37,"[16, 0, 7, 0, 1, 0, 5, 13, 20, 0, 9, 15, 0, 0, 16, 14, 0, 0, 0, 2]","[1, 3, 8, 11, 12]"
38,"[16, 20, 0, 14, 1, 0, 3, 0, 20, 0, 0, 15, 0, 4, 0, 0, 0, 0, 2, 9]","[5, 7, 12, 14, 20]"
39,"[5, 0, 0, 0, 1, 17, 0, 13, 20, 0, 0, 0, 9, 16, 16, 4, 0, 0, 0, 13]","[5, 6, 15, 20]"
40,"[0, 0, 0, 15, 1, 17, 19, 13, 11, 14, 3, 18, 20, 16, 12, 4, 0, 4, 7, 11]","[6, 8, 11, 12, 14, 19]"
41,"[5, 0, 11, 0, 7, 0, 3, 0, 20, 14, 3, 0, 0, 0, 12, 0, 0, 0, 0, 13]","[5, 10, 11, 15, 20]"
42,"[5, 13, 11, 16, 0, 0, 0, 0, 11, 0, 9, 18, 9, 0, 0, 0, 6, 0, 0, 0]","[1, 3, 12, 13, 17]"
43,"[5, 19, 7, 0, 7, 2, 19, 0, 2, 14, 0, 0, 20, 0, 12, 18, 0, 4, 0, 9]","[1, 3, 15, 16, 20]"
44,"[0, 20, 11, 0, 0, 0, 3, 0, 13, 0, 20, 18, 20, 16, 16, 15, 6, 0, 0, 2]","[7, 12, 15, 17, 20]"
45,"[0, 20, 7, 15, 0, 17, 0, 0, 0, 14, 9, 0, 0, 0, 0, 14, 0, 4, 0, 13]","[3, 6, 10, 18, 20]"
46,"[0, 20, 0, 0, 1, 0, 3, 13, 11, 0, 9, 0, 0, 4, 0, 14, 6, 12, 2, 13]","[8, 11, 16, 17, 18, 19]"
47,"[16, 0, 11, 14, 1, 2, 0, 0, 20, 14, 0, 15, 0, 16, 0, 18, 6, 4, 7, 0]","[9, 10, 12, 17, 18, 19]"
48,"[16, 19, 7, 15, 0, 0, 0, 13, 2, 0, 20, 18, 8, 10, 16, 18, 0, 4, 7, 9]","[8, 11, 14, 16, 19]"
49,"[16, 20, 11, 16, 7, 0, 0, 0, 0, 14, 0, 15, 0, 10, 16, 14, 6, 12, 2, 13]","[1, 5, 10, 12, 17, 20]"
50,"[16, 20, 11, 15, 7, 0, 0, 13, 0, 0, 0, 0, 8, 4, 12, 0, 0, 0, 2, 11]","[5, 13, 15, 20]"
51,"[0, 9, 0, 14, 7, 2, 0, 13, 2, 0, 0, 0, 20, 16, 12, 0, 0, 0, 2, 2]","[4, 5, 6, 8, 15]"
52,"[5, 0, 0, 15, 1, 0, 3, 13, 13, 14, 0, 0, 0, 10, 4, 0, 0, 0, 0, 2]","[5, 7, 10, 15, 20]"
53,"[0, 9, 0, 15, 1, 2, 19, 13, 0, 14, 0, 0, 0, 10, 16, 0, 6, 4, 0, 13]","[5, 7, 10, 17, 18, 20]"
54,"[0, 0, 7, 16, 7, 0, 5, 0, 0, 14, 9, 15, 0, 0, 0, 1, 0, 0, 0, 0]","[7, 10, 11, 12]"
55,"[0, 19, 0, 16, 7, 0, 19, 0, 20, 0, 0, 18, 0, 16, 12, 0, 0, 12, 0, 2]","[7, 12, 14, 20]"
56,"[5, 20, 11, 0, 1, 0, 0, 13, 2, 0, 20, 18, 0, 4, 0, 14, 0, 12, 2, 0]","[5, 8, 11, 12, 14, 19]"
57,"[5, 20, 11, 0, 7, 2, 0, 13, 20, 14, 20, 18, 0, 0, 0, 0, 6, 0, 0, 9]","[5, 8, 10, 11, 12, 17]"
58,"[16, 13, 7, 0, 0, 2, 19, 13, 20, 0, 0, 0, 9, 16, 0, 0, 0, 0, 0, 11]","[6, 7, 8, 14]"
59,"[0, 0, 0, 0, 0, 17, 3, 13, 0, 14, 9, 18, 0, 10, 12, 0, 6, 16, 0, 0]","[8, 11, 14, 15, 17]"
60,"[5, 0, 11, 0, 7, 0, 5, 0, 0, 14, 0, 18, 20, 4, 0, 14, 0, 0, 2, 0]","[3, 7, 12, 14, 19]"
61,"[16, 0, 0, 14, 1, 0, 0, 13, 11, 14, 20, 18, 0, 0, 16, 0, 6, 12, 0, 9]","[5, 8, 10, 11, 12, 15, 17]"
62,"[5, 19, 11, 0, 7, 2, 5, 13, 2, 14, 9, 0, 2, 16, 12, 1, 6, 16, 7, 0]","[1, 8, 10, 11, 15, 17, 19]"
63,"[5, 6, 7, 14, 7, 2, 0, 13, 11, 14, 20, 0, 0, 16, 4, 4, 0, 12, 0, 0]","[1, 3, 6, 8, 10, 11, 18]"
64,"[5, 0, 0, 15, 0, 17, 5, 13, 20, 0, 3, 18, 20, 4, 4, 18, 6, 12, 0, 11]","[1, 8, 11, 12, 15, 17]"
65,"[16, 20, 7, 0, 1, 0, 0, 13, 0, 14, 20, 0, 0, 16, 4, 1, 6, 0, 0, 13]","[5, 8, 10, 11, 15, 17]"
66,"[5, 0, 11, 0, 1, 2, 19, 13, 2, 14, 0, 0, 0, 4, 16, 1, 6, 16, 2, 0]","[3, 5, 8, 10, 17, 18, 19]"
67,"[5, 6, 11, 18, 0, 0, 5, 13, 0, 0, 9, 0, 9, 10, 16, 18, 0, 12, 2, 2]","[7, 8, 11, 14, 18, 19]"
68,"[5, 0, 11, 14, 7, 17, 5, 13, 0, 14, 3, 18, 0, 0, 0, 4, 0, 0, 0, 13]","[5, 6, 10, 11, 12, 20]"
69,"[0, 9, 0, 16, 1, 0, 0, 0, 13, 0, 0, 15, 20, 4, 0, 0, 6, 16, 7, 0]","[12, 13, 17, 18, 19]"
70,"[5, 0, 11, 15, 7, 0, 19, 0, 13, 0, 9, 0, 9, 10, 0, 0, 6, 0, 2, 13]","[3, 4, 7, 13, 14, 17]"
71,"[0, 0, 0, 15, 0, 2, 0, 13, 11, 0, 9, 0, 8, 0, 16, 18, 6, 16, 7, 0]","[9, 13, 17, 18, 19]"
72,"[5, 6, 7, 14, 0, 17, 0, 0, 2, 0, 0, 18, 20, 0, 16, 0, 0, 16, 7, 13]","[6, 12, 15, 19, 20]"
