,P1,P2,P3,P4,P5,P6,P7,P8,P9,P10
P1,0.0,17.11724276862369,8.0,15.0,12.041594578792296,7.810249675906654,15.811388300841896,21.93171219946131,17.72004514666935,17.029386365926403
P2,17.11724276862369,0.0,9.219544457292887,21.400934559032695,10.0,11.40175425099138,17.69180601295413,13.038404810405298,3.0,23.430749027719962
P3,8.0,9.219544457292887,0.0,17.0,8.06225774829855,5.385164807134504,15.297058540778355,17.0,10.295630140987,19.235384061671343
P4,15.0,21.400934559032695,17.0,0.0,11.40175425099138,11.661903789690601,5.0,16.0,19.72308292331602,2.23606797749979
P5,12.041594578792296,10.0,8.06225774829855,11.40175425099138,0.0,4.242640687119285,8.06225774829855,9.899494936611665,8.54400374531753,13.45362404707371
P6,7.810249675906654,11.40175425099138,5.385164807134504,11.661903789690601,4.242640687119285,0.0,10.04987562112089,14.142135623730951,11.0,13.892443989449804
P7,15.811388300841896,17.69180601295413,15.297058540778355,5.0,8.06225774829855,10.04987562112089,0.0,11.0,15.620499351813308,6.324555320336759
P8,21.93171219946131,13.038404810405298,17.0,16.0,9.899494936611665,14.142135623730951,11.0,0.0,10.04987562112089,17.11724276862369
P9,17.72004514666935,3.0,10.295630140987,19.72308292331602,8.54400374531753,11.0,15.620499351813308,10.04987562112089,0.0,21.633307652783937
P10,17.029386365926403,23.430749027719962,19.235384061671343,2.23606797749979,13.45362404707371,13.892443989449804,6.324555320336759,17.11724276862369,21.633307652783937,0.0
