,P1,P2,P3,P4,P5,P6,P7,P8,P9,P10,P11,P12,P13,P14,P15,P16,P17,P18,P19,P20
P1,0.0,16.278820596099706,12.165525060596439,8.48528137423857,5.656854249492381,16.15549442140351,9.055385138137417,27.586228448267445,19.72308292331602,8.54400374531753,17.46424919657298,14.142135623730951,23.021728866442675,9.486832980505138,9.0,7.0710678118654755,22.360679774997898,14.422205101855956,9.433981132056603,17.4928556845359
P2,16.278820596099706,0.0,13.0,18.681541692269406,17.0,7.211102550927978,10.44030650891055,11.40175425099138,5.0990195135927845,24.413111231467404,8.602325267042627,14.317821063276353,7.280109889280518,22.47220505424423,12.165525060596439,18.027756377319946,9.219544457292887,20.024984394500787,7.211102550927978,3.605551275463989
P3,12.165525060596439,13.0,0.0,19.697715603592208,8.246211251235321,18.027756377319946,4.242640687119285,23.08679276123039,13.0,20.024984394500787,7.810249675906654,21.2602916254693,16.55294535724685,21.587033144922902,16.278820596099706,18.384776310850235,22.090722034374522,24.413111231467404,8.06225774829855,11.40175425099138
P4,8.48528137423857,18.681541692269406,19.697715603592208,0.0,14.142135623730951,15.0,15.811388300841896,28.653097563788805,23.345235059857504,9.219544457292887,23.08679276123039,8.94427190999916,25.96150997149434,4.242640687119285,6.708203932499369,1.4142135623730951,21.2602916254693,6.324555320336759,14.035668847618199,21.213203435596427
P5,5.656854249492381,17.0,8.246211251235321,14.142135623730951,0.0,19.1049731745428,7.0710678118654755,28.30194339616981,19.1049731745428,12.041594578792296,15.264337522473747,18.973665961010276,22.67156809750927,14.7648230602334,13.601470508735444,12.727922061357855,24.73863375370596,20.0,9.848857801796104,17.029386365926403
P6,16.15549442140351,7.211102550927978,18.027756377319946,15.0,19.1049731745428,0.0,14.317821063276353,13.92838827718412,12.083045973594572,22.80350850198276,15.556349186104045,8.06225774829855,13.152946437965905,19.209372712298546,8.48528137423857,14.866068747318506,6.4031242374328485,14.317821063276353,10.198039027185569,10.816653826391969
P7,9.055385138137417,10.44030650891055,4.242640687119285,15.811388300841896,7.0710678118654755,14.317821063276353,0.0,21.470910553583888,12.041594578792296,17.46424919657298,8.54400374531753,17.029386365926403,15.620499351813308,18.110770276274835,12.041594578792296,14.560219778561036,19.026297590440446,20.248456731316587,4.123105625617661,10.0
P8,27.586228448267445,11.40175425099138,23.08679276123039,28.653097563788805,28.30194339616981,13.92838827718412,21.470910553583888,0.0,10.198039027185569,35.4682957019364,16.1245154965971,21.840329667841555,7.0,32.7566787083184,21.95449840010015,28.30194339616981,9.0,28.160255680657446,18.601075237738275,11.704699910719626
P9,19.72308292331602,5.0990195135927845,13.0,23.345235059857504,19.1049731745428,12.083045973594572,12.041594578792296,10.198039027185569,0.0,28.178005607210743,6.0,19.4164878389476,3.605551275463989,26.92582403567252,17.029386365926403,22.561028345356956,12.206555615733702,25.079872407968907,10.295630140987,2.23606797749979
P10,8.54400374531753,24.413111231467404,20.024984394500787,9.219544457292887,12.041594578792296,22.80350850198276,17.46424919657298,35.4682957019364,28.178005607210743,0.0,25.96150997149434,18.027756377319946,31.38470965295043,6.082762530298219,14.422205101855956,8.54400374531753,29.206163733020468,15.0,17.88854381999832,25.942243542145693
P11,17.46424919657298,8.602325267042627,7.810249675906654,23.08679276123039,15.264337522473747,15.556349186104045,8.54400374531753,16.1245154965971,6.0,25.96150997149434,0.0,21.470910553583888,9.219544457292887,26.019223662515376,17.72004514666935,22.02271554554524,17.46424919657298,26.248809496813376,9.055385138137417,5.385164807134504
P12,14.142135623730951,14.317821063276353,21.2602916254693,8.94427190999916,18.973665961010276,8.06225774829855,17.029386365926403,21.840329667841555,19.4164878389476,18.027756377319946,21.470910553583888,0.0,21.02379604162864,13.038404810405298,5.385164807134504,9.486832980505138,13.416407864998739,6.324555320336759,13.45362404707371,17.72004514666935
